setup_id,setup_params,true_mean,pred_mean,relative_error,mse,mae,r2,mean_uncertainty,n_samples
187,"[0.2777777777777778, 0.2333333333333333, 0.0173205080756887]",0.23410950466373687,0.20893562016974346,0.10753037752503102,0.00813792555674346,0.07649348170568564,-0.08444929078933971,0.12748633145425822,500
188,"[0.2777777777777778, 0.2333333333333333, 0.1125]",0.37968711285753864,0.32250385853524277,0.1506062515155444,0.02390816913789064,0.1323466950270366,-0.15844005360563962,0.12748632611818975,500
189,"[0.2777777777777778, 0.2333333333333333, 0.22525]",0.4524000960131251,0.45703723980074346,0.010250094387652146,0.024461678995316996,0.13281051653400364,-0.0008798260127651503,0.1274865193180341,500
190,"[0.2777777777777778, 0.2777777777777778, 0.001]",0.16813621314107213,0.19369723670029937,0.1520256794265008,0.008156018779802359,0.07788080393978168,-0.08708465366508178,0.1274863311459411,1500
191,"[0.2777777777777778, 0.2777777777777778, 0.05]",0.33098499399922526,0.2521640720174573,0.2381404626475237,0.019768058720985544,0.12162355224273083,-0.45832464990781485,0.12748629467474845,500
192,"[0.2777777777777778, 0.2777777777777778, 0.2999999999999999]",0.48401046465558784,0.5504642522070375,0.1372982425612522,0.02983860742879503,0.13285228407372715,-0.17370854994130003,0.12748674475813299,500
193,"[0.2777777777777778, 0.3222222222222222, 0.0173205080756887]",0.2685974793239905,0.21740613722896282,0.19058756738146237,0.010803213422383294,0.08998265908655284,-0.3202569252670524,0.1274863154045691,500
194,"[0.2777777777777778, 0.3666666666666667, 0.05]",0.3292078420895556,0.2606345890766764,0.20829774435096088,0.017007844281023348,0.11129853126706303,-0.3821275591901272,0.12748631336517174,500
195,"[0.2777777777777778, 0.3666666666666667, 0.22525]",0.471605670331134,0.4697430153895725,0.003949602431110693,0.020563389788662643,0.11879696292172343,-0.00016874984823944672,0.12748651127286825,500
196,"[0.2777777777777778, 0.4111111111111111, 0.0005]",0.12232346617448232,0.20580641192874924,0.6824768913138698,0.010494286391324763,0.0864222689864955,-1.9772003607542645,0.1274863892647647,500
